,CWSID,RegulatingAgency,WaterSystemName,Score_DroughtWatchStatus,WaterOutageDroughtViolation,BottledHauledWaterOrZeroSource,CurtailmentExemptionPetition,Score_1704,FundedProject,DroughtExperienced,ServiceConnections,Population,Score_SourceNumber,Score_SCV,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,PWPhysicalAddressLat,PWPhysicalAddressLong,CentralValleyCounties,NonCentralValleyCounties,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8_CentralValley,HUC8_Coast,HUC8_Other,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,DSCI2WYAvg,TNCFlow2WYAvg,ind,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2
31,CA0310003,DISTRICT 10 - STOCKTON,"AWA, TANNER",0,0,0,0,0,0,0,1742,4943,0,0,0,0,-1,0,0,0,0,2,0,2,0,4,-1,38.3828639,-120.7877453,No,AMADOR,0,1,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,6935.890773,1,0.681,0.319,NotExpected,0.708,0.292,NotExpected,0.715,0.285,NotExpected,0.737,0.263,NotExpected,0.773,0.227,NotExpected
32,CA0310004,DISTRICT 10 - STOCKTON,"PLYMOUTH, CITY OF",0,0,0,0,0,0,0,520,1060,0,0,0,0,2322,0,0,0,0,1,0,1,0,2,0,38.480957,-120.847427,No,AMADOR,2,0,SanJoaquinRiver,1804,18040013,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,1,221.5047619,411.5669724,1,0.781,0.219,NotExpected,0.81,0.19,NotExpected,0.84,0.16,NotExpected,0.823,0.177,NotExpected,0.854,0.146,NotExpected
33,CA0310005,DISTRICT 10 - STOCKTON,PINE GROVE COMM SERV DIST,0,0,0,0,0,0,0,388,907,0,0,0,0,1805,0,0,2,2,1,1,1,0,7,1,38.4130582,-120.6588606,No,AMADOR,0,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,1,221.5047619,6935.890773,2,0.691,0.309,NotExpected,0.738,0.262,NotExpected,0.757,0.243,NotExpected,0.776,0.224,NotExpected,0.793,0.207,NotExpected
34,CA0310006,DISTRICT 10 - STOCKTON,RIVER PINES PUD,0,0,0,0,0,0,0,215,510,0,0,0,0,1757,0,0,0,0,0,2,2,0,4,0.333333333,38.5447073,-120.7410793,No,AMADOR,3,0,SanJoaquinRiver,1804,18040013,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,411.5669724,2,0.754,0.246,NotExpected,0.769,0.231,NotExpected,0.778,0.222,NotExpected,0.783,0.217,NotExpected,0.806,0.194,NotExpected
35,CA0310008,DISTRICT 10 - STOCKTON,CAMANCHE NORTH SHORE INC.,0,0,0,0,0,0,0,211,1184,0,0,0,1,1445,0,0,0,0,0,1,1,0,2,0.333333333,38.1915856,-120.8291033,No,AMADOR,3,0,SanJoaquinRiver,1804,18040011,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-022,0-000,0-000,0,221.5047619,134.5499783,1,0.823,0.177,NotExpected,0.835,0.165,NotExpected,0.846,0.154,NotExpected,0.851,0.149,NotExpected,0.871,0.129,NotExpected
36,CA0310011,DISTRICT 10 - STOCKTON,FIRST MACE MEADOW # 1,0,0,0,0,0,0,0,337,838,0,0,0,0,1636,0,0,0,0,0,0,0,0,0,1,38.4585468,-120.5415177,No,AMADOR,0,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,1,221.5047619,6935.890773,1,0.783,0.217,NotExpected,0.816,0.184,NotExpected,0.807,0.193,NotExpected,0.808,0.192,NotExpected,0.835,0.165,NotExpected
37,CA0310012,DISTRICT 10 - STOCKTON,AWA BUCKHORN PLANT,0,0,0,0,0,0,0,2743,8809,0,0,0,0,-1,1,0,0,0,2,0,2,0,4,-1,38.3828639,-120.7877453,No,AMADOR,0,1,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,6935.890773,2,0.567,0.433,NotExpected,0.592,0.408,NotExpected,0.617,0.383,NotExpected,0.651,0.349,NotExpected,0.692,0.308,NotExpected
38,CA0310018,DISTRICT 10 - STOCKTON,FIRST MACE MEADOWS UNIT NO. 2,0,0,0,0,0,0,0,82,200,0,0,0,0,1713,0,0,0,0,1,0,0,0,1,1,38.4475654,-120.5379166,No,AMADOR,0,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,1,221.5047619,6935.890773,1,0.793,0.207,NotExpected,0.82,0.18,NotExpected,0.816,0.184,NotExpected,0.817,0.183,NotExpected,0.845,0.155,NotExpected
39,CA0310019,DISTRICT 10 - STOCKTON,AWA LA MEL HEIGHTS #3,0,0,0,0,0,0,0,55,188,0.5,0,0,0,-1,0,0,0,0,0,1,0,0,1,0.333333333,38.3828639,-120.7877453,No,AMADOR,2,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,6935.890773,1,0.816,0.184,NotExpected,0.838,0.162,NotExpected,0.825,0.175,NotExpected,0.829,0.171,NotExpected,0.844,0.156,NotExpected
40,CA0310021,DISTRICT 10 - STOCKTON,AWA - CAMANCHE VILLAGE,0,0,0,0,0,0,0,732,2384,0,0,0,0,2130,0,0,0,0,0,1,0,0,1,0.333333333,38.2511151,-120.9429248,No,AMADOR,4,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-022,0-000,0-000,0,221.5047619,6935.890773,2,0.762,0.238,NotExpected,0.798,0.202,NotExpected,0.794,0.206,NotExpected,0.806,0.194,NotExpected,0.815,0.185,NotExpected
