PWSID,Groundwater,Surface Water,Interties
CA1000024,2,0,0
CA1000039,2,0,0
CA1000040,2,0,0
CA1000041,1,0,0
CA1000042,3,0,0
CA1000049,1,0,0
CA1000050,1,0,1
CA1000051,1,0,0
CA1000053,3,0,0
CA1000054,1,0,1
CA1000056,3,0,0
CA1000057,1,0,0
CA1000058,2,0,0
CA1000060,2,0,0
CA1000063,2,0,0
CA1000067,1,0,0
CA1000069,4,0,0
CA1000071,2,0,0
CA1000072,3,0,0
CA1000075,1,0,0
CA1000076,2,0,0
CA1000078,3,0,0
CA1000080,2,0,0
CA1000083,1,0,0
CA1000085,1,0,0
CA1000094,1,0,0
CA1000096,2,0,0
CA1000097,2,0,0
CA1000104,1,0,0
CA1000105,1,0,0
CA1000111,1,0,0
CA1000116,0,1,1
CA1000122,1,0,0
CA1000126,3,0,0
CA1000128,1,0,0
CA1000129,2,0,0
CA1000130,1,0,0
CA1000134,1,0,0
CA1000135,1,0,0
CA1000136,3,0,0
CA1000137,1,0,0
CA1000140,1,0,0
CA1000141,1,0,0
CA1000143,1,0,0
CA1000189,2,0,1
CA1000145,1,0,0
CA1000147,1,0,0
CA1000148,1,0,0
CA1000151,3,0,0
CA1000156,1,0,0
CA1000165,3,0,0
CA1000170,1,0,0
CA1000171,3,0,0
CA1000172,1,0,0
CA1000176,1,0,0
CA1000177,0,1,0
CA1000178,0,1,0
CA1000180,1,0,0
CA1000181,1,0,0
CA1000182,1,0,0
CA1000184,1,0,0
CA1000185,1,0,0
CA1000186,1,0,0
CA1000187,1,0,0
CA1000190,1,0,0
CA1000192,1,0,0
CA1000193,1,0,0
CA1000194,1,0,0
CA1000196,1,0,0
CA1000198,1,0,0
CA1000199,1,0,0
CA1000200,1,0,0
CA1000201,1,0,0
CA1000204,1,0,0
CA1000206,1,0,0
CA1000208,1,0,0
CA1000213,0,1,0
CA1000214,0,1,0
CA1000217,1,0,0
CA1000221,2,0,0
CA1000223,2,0,0
CA1000229,1,0,0
CA1000230,1,0,0
CA1000238,1,0,0
CA1000244,1,0,0
CA1000247,1,0,0
CA1000249,1,0,0
CA1000257,2,0,0
CA1000258,1,0,0
CA1000259,1,0,0
CA1000260,2,0,0
CA1000261,1,0,0
CA1000264,2,0,0
CA1000265,2,0,0
CA1000267,3,0,0
CA1000270,1,0,0
CA1000277,1,0,0
CA1000279,2,0,0
CA1000280,3,0,0
CA1000282,2,0,0
CA1000295,1,0,0
CA1000298,1,0,0
CA1000299,1,0,0
CA1000304,1,0,0
CA1000305,1,0,0
CA1000308,1,0,0
CA1000310,2,0,0
CA1000315,1,0,0
CA1000316,1,0,0
CA1000317,1,0,0
CA1000318,1,0,0
CA1000319,1,0,0
CA1000324,1,0,0
CA1000345,0,1,0
CA1000359,0,1,0
CA1000361,0,1,0
CA1000362,2,0,0
CA1000365,3,0,0
CA1000366,1,0,0
CA1000367,2,0,1
CA1000369,1,0,0
CA1000377,3,0,0
CA1000378,2,0,0
CA1000381,2,0,0
CA1000383,2,0,0
CA1000389,2,0,0
CA1000393,1,0,0
CA1000399,1,0,0
CA1000405,1,0,0
CA1000406,1,0,0
CA1000411,2,0,0
CA1000416,1,0,0
CA1000424,1,0,0
CA1000426,2,0,0
CA1000430,1,0,0
CA1000439,1,0,0
CA1000440,1,0,0
CA1000442,2,0,0
CA1000443,1,0,0
CA1000447,5,0,1
CA1000453,1,0,0
CA1000454,1,0,0
CA1000457,1,0,0
CA1000459,1,0,0
CA1000460,1,0,0
CA1000461,4,0,0
CA1000462,1,0,0
CA1000467,1,0,0
CA1000468,1,0,0
CA1000471,1,0,1
CA1000472,1,0,0
CA1000473,2,0,1
CA1000474,1,0,0
CA1000476,2,0,0
CA1000478,1,0,0
CA1000479,2,0,0
CA1000480,2,0,0
CA1000482,2,0,0
CA1000483,1,0,0
CA1000484,1,1,0
CA1000485,2,0,0
CA1000486,2,0,0
CA1000487,1,0,0
CA1000488,1,0,0
CA1000490,0,1,0
CA1000492,1,0,0
CA1000495,1,0,0
CA1000497,1,0,0
CA1000501,1,0,0
CA1000502,1,0,0
CA1000507,1,0,0
CA1000508,1,0,0
CA1000511,1,0,0
CA1000513,1,0,0
CA1000514,2,0,0
CA1000515,1,0,0
CA1000517,1,0,0
CA1000519,1,0,0
CA1000520,1,0,0
CA1000524,1,0,0
CA1000525,1,0,0
CA1000526,2,0,0
CA1000528,1,0,0
CA1000529,2,0,0
CA1000533,3,0,0
CA1000534,1,0,0
CA1000537,1,0,0
CA1000540,1,0,0
CA1000541,1,0,0
CA1000544,1,0,0
CA1000545,1,0,0
CA1000546,0,1,0
CA1000548,1,0,0
CA1000549,1,0,0
CA1000550,2,0,0
CA1000551,1,0,0
CA1000552,1,0,0
CA1000553,1,0,0
CA1000554,2,0,0
CA1000555,2,0,0
CA1000557,2,0,0
CA1000560,1,0,0
CA1000561,1,0,0
CA1000562,1,0,0
CA1000564,0,1,0
CA1000565,1,0,0
CA1000566,2,0,0
CA1000568,1,0,0
CA1000569,1,0,0
CA1000570,2,0,0
CA1000571,1,0,0
CA1000573,1,0,0
CA1000575,1,0,0
CA1000576,2,0,0
CA1000577,1,0,0
CA1000578,1,0,0
CA1000579,1,0,0
CA1000580,1,0,0
CA1000583,1,0,0
CA1000584,1,0,0
CA1000585,1,0,0
CA1000586,1,0,0
CA1000587,1,0,0
CA1000589,1,0,0
CA1000590,1,0,0
CA1000592,1,0,0
CA1000593,2,0,0
CA1000596,0,1,0
CA1000599,1,0,0
CA1000600,1,0,0
CA1000601,1,0,0
CA1000602,2,0,0
CA1000606,1,0,0
CA1000607,0,1,0
CA1000608,2,0,0
CA1000609,1,0,0
CA1000611,1,0,0
CA1000613,1,0,0
CA1000614,1,0,0
CA1000619,1,0,0
CA1000620,1,0,0
CA1000621,1,0,0
CA1000625,1,0,0
CA1000626,1,0,0
CA1000627,1,0,0
CA1000629,1,0,0
CA1000630,1,0,0
CA1000634,1,0,0
CA1000635,1,0,0
CA1000637,1,0,0
CA1000639,1,0,0
CA1000641,2,0,0
CA1000643,2,0,0
CA1000644,1,0,0
CA1000645,0,1,0
CA1000647,1,0,0
CA1000648,1,0,0
CA1000649,1,0,0
CA1000650,1,0,0
CA1000652,1,0,0
CA1000654,1,0,0
CA1000655,1,0,0
CA1000661,1,0,0
CA1000663,1,0,0
CA1000664,1,0,0
CA1000665,1,0,0
CA1000667,1,0,0
CA1000670,1,0,0
CA1000671,1,0,0
CA1009020,1,0,0
CA1009023,0,1,0
CA1009027,0,1,0
CA1009028,0,1,0
CA1009039,0,1,0
CA1009051,1,0,0
CA1009078,0,1,0
CA1009091,2,0,0
CA1009111,0,1,0
CA1009120,1,0,0
CA1009129,0,1,0
CA1009147,0,1,0
CA1009179,0,1,0
CA1009214,0,1,0
CA1009222,0,1,0
CA1009232,0,1,0
CA1009256,1,0,0
CA1010001,13,0,0
CA1010003,38,1,0
CA1010004,0,1,0
CA1010005,6,0,0
CA1010006,6,0,0
CA1010007,205,3,0
CA1010013,7,2,0
CA1010017,32,0,0
CA1010018,5,0,0
CA1010019,7,0,0
CA1010020,3,0,0
CA1010021,4,0,0
CA1010023,0,1,0
CA1010024,10,0,0
CA1010025,6,0,0
CA1010026,5,0,0
CA1010027,7,0,0
CA1010028,4,0,0
CA1010029,10,0,0
CA1010034,3,0,0
CA1010035,4,0,0
CA1010039,3,0,0
CA1010042,3,0,0
CA1010044,0,1,0
CA1010049,2,0,0
CA1010051,0,1,0
CA1010052,4,0,0
CA1010053,3,0,0
CA1010055,2,0,0
CA1010057,2,0,0
CA1010060,1,0,0
CA1010062,3,0,0
CA1010339,4,0,1
CA1010500,1,1,0
CA1010501,2,0,0
CA1010800,2,0,0
CA1100101,1,0,0
CA1100102,1,0,0
CA1100103,1,0,0
CA1100104,1,0,0
CA1100203,2,0,0
CA1100206,1,0,0
CA1100221,1,0,0
CA1100229,2,0,0
CA1100232,2,0,0
CA1100237,1,0,0
CA1100250,1,0,0
CA1100254,1,0,0
CA1100257,1,0,0
CA1100258,1,0,0
