ServiceConnections,Population,Score_SourceNumber,Score_SourceCapacityViolations,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,Lat,Long,County,DSCI2WYAvg,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,TNCFlow2WYAvg,DroughtExperienced
13990,49737,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0,33.0067903,-117.0187661,SAN DIEGO,73.45714286,0,1,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,36.67104046,0
8317,21841,0,No,No,No,-1,No,0,0,2,0,0,0,1,3,0,33.3263496,-117.1622051,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070303,9,0-000,0-000,0-000,0-000,0-000,9-007,Yes,69.64396161,0
7107,28689,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0,33.1516274,-117.0954508,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
9565,35628,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0,33.0514158,-116.8553734,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,36.67104046,0
277703,1394515,0,No,No,No,-1,No,0,0,0,1,0,1,2,4,-1,32.8352425,-117.1353911,SAN DIEGO,73.45714286,3,5,NotInCurtailedWatershed,18-07,18-070304,FR-9,FR-999,0-000,0-000,0-000,0-000,9-015,Yes,36.67104046,0
12037,39722,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0,33.0462918,-117.2854763,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
6530,21549,0,No,No,No,-1,No,0,0,0,1,0,1,1,3,0,33.0520341,-117.1736465,SAN DIEGO,73.45714286,0,2,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
33284,189719,0,No,No,No,-1,No,0,0,0,1,1,1,1,4,-1,32.6334938,-117.0786267,SAN DIEGO,73.45714286,14,2,NotInCurtailedWatershed,18-07,18-070304,FR-9,FR-999,0-000,0-000,0-000,0-000,9-033,Yes,36.67104046,0
9023,28507,0,No,No,No,-1,No,0,0,0,1,0,1,2,4,0,33.2321691,-117.0216975,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
27693,134588,0,No,No,No,-1,No,0,0,0,1,0,0,2,3,-1,33.14762,-117.2374354,SAN DIEGO,73.45714286,27,1,NotInCurtailedWatershed,18-07,18-070303,FR-9,FR-999,0-000,0-000,0-000,0-000,9-008,Yes,69.64396161,0
22669,86997,0,No,No,No,-1,No,0,0,0,2,0,2,2,6,0,33.0677662,-117.2468057,SAN DIEGO,73.45714286,0,1,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
50106,225870,0,No,No,No,-1,No,0,0,0,0,0,2,2,4,-1,32.7243155,-116.9664169,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,36.67104046,0
2033,3429,0,No,No,Yes,1349,No,0,0,2,0,1,1,0,4,1,33.2569863,-116.3710182,SAN DIEGO,73.45714286,9,0,NotInCurtailedWatershed,181-0,18-100203,7,0-000,0-000,0-000,0-000,0-000,7-024,No,45.08827251,0
23163,92045,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0,32.8454863,-117.0052008,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070304,9,0-000,0-000,0-000,0-000,0-000,9-015,Yes,36.67104046,0
719,2500,0,No,No,No,1176,No,0,0,0,0,0,0,0,0,0.333333333,32.823131,-116.5315166,SAN DIEGO,73.45714286,8,0,NotInCurtailedWatershed,18-07,18-070305,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,31.78235015,0
706,1502,0,No,No,No,1210,No,0,0,0,0,1,0,0,1,0.333333333,33.0797354,-116.5890689,SAN DIEGO,73.45714286,3,0,NotInCurtailedWatershed,181-0,18-100203,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,45.08827251,0
98,0,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,-1,33.114775,-117.0865793,SAN DIEGO,73.45714286,0,1,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
1057,3330,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,1,33.1516274,-117.0954508,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
